pair,dataset,family,n_actions,lambda,n,id,old_action,updated_action,old_correct,updated_correct
small,obqa,semantic,3,0.1,742,7-703,R,C,1,1
small,obqa,semantic,3,0.3,742,10-128,R,C,0,0
small,obqa,semantic,3,0.3,742,10-232,C,R,0,0
small,obqa,semantic,3,0.3,742,10-489,R,C,1,0
small,obqa,semantic,3,0.3,742,11-389,R,C,1,1
small,obqa,semantic,3,0.3,742,11-681,C,R,1,1
small,obqa,semantic,3,0.3,742,1107,C,R,0,1
small,obqa,semantic,3,0.3,742,12-22,R,C,0,1
small,obqa,semantic,3,0.3,742,12-77,C,R,1,1
small,obqa,semantic,3,0.3,742,13-324,R,C,1,0
small,obqa,semantic,3,0.3,742,14-279,R,C,1,1
small,obqa,semantic,3,0.3,742,14-352,R,C,0,0
small,obqa,semantic,3,0.3,742,14-537,R,C,0,0
small,obqa,semantic,3,0.3,742,499,R,C,1,1
small,obqa,semantic,3,0.3,742,9-538,R,C,1,0
small,obqa,semantic,3,0.3,742,9-831,R,C,1,1
small,obqa,semantic,3,1,742,10-1068,C,R,1,1
small,obqa,semantic,3,1,742,10-380,R,C,0,0
small,obqa,semantic,3,1,742,10-75,R,C,0,1
small,obqa,semantic,3,1,742,11-347,C,R,1,1
small,obqa,semantic,3,1,742,11-564,C,R,1,1
small,obqa,semantic,3,1,742,12-1052,C,R,0,0
small,obqa,semantic,3,1,742,13-409,C,R,0,0
small,obqa,semantic,3,1,742,14-223,C,R,0,0
small,obqa,semantic,3,1,742,7-172,R,C,0,0
small,obqa,semantic,3,1,742,7-194,R,C,1,1
small,obqa,semantic,3,1,742,7-26,R,C,0,0
small,obqa,semantic,3,1,742,7-912,R,C,0,0
small,obqa,semantic,4,0,742,10-1142,T,C,1,1
small,obqa,semantic,4,0,742,10-1171,C,R,0,0
small,obqa,semantic,4,0,742,10-170,T,C,0,0
small,obqa,semantic,4,0,742,11-679,C,T,1,1
small,obqa,semantic,4,0,742,11-693,C,T,1,0
small,obqa,semantic,4,0,742,11-747,R,C,0,1
small,obqa,semantic,4,0,742,12-1108,T,C,1,1
small,obqa,semantic,4,0,742,12-669,T,C,0,0
small,obqa,semantic,4,0,742,13-152,T,C,1,1
small,obqa,semantic,4,0,742,13-271,C,T,1,0
small,obqa,semantic,4,0,742,13-631,T,C,1,1
small,obqa,semantic,4,0,742,14-264,C,T,1,0
small,obqa,semantic,4,0,742,14-67,C,R,0,0
small,obqa,semantic,4,0,742,14-903,T,C,1,1
small,obqa,semantic,4,0,742,1927,T,C,0,1
small,obqa,semantic,4,0,742,9-628,C,T,0,1
small,obqa,semantic,4,0.01,742,10-1171,C,R,0,0
small,obqa,semantic,4,0.01,742,10-780,T,C,1,1
small,obqa,semantic,4,0.01,742,11-141,T,C,1,1
small,obqa,semantic,4,0.01,742,11-652,T,C,1,0
small,obqa,semantic,4,0.01,742,11-747,R,C,0,1
small,obqa,semantic,4,0.01,742,12-468,T,C,1,1
small,obqa,semantic,4,0.01,742,13-660,T,C,0,1
small,obqa,semantic,4,0.01,742,14-1362,T,C,1,1
small,obqa,semantic,4,0.01,742,14-1451,C,T,0,0
small,obqa,semantic,4,0.01,742,14-352,T,C,0,0
small,obqa,semantic,4,0.01,742,14-409,T,C,0,1
small,obqa,semantic,4,0.01,742,14-60,C,T,0,0
small,obqa,semantic,4,0.03,742,10-1171,C,R,0,0
small,obqa,semantic,4,0.03,742,12-397,R,C,0,1
small,obqa,semantic,4,0.03,742,12-84,T,C,1,0
small,obqa,semantic,4,0.03,742,12-950,T,C,1,1
small,obqa,semantic,4,0.03,742,14-290,C,T,1,0
small,obqa,semantic,4,0.03,742,14-456,T,C,1,1
small,obqa,semantic,4,0.03,742,870,T,C,0,0
small,obqa,semantic,4,0.03,742,9-551,C,R,1,0
small,obqa,semantic,4,0.03,742,9-795,T,C,0,1
small,obqa,semantic,4,0.03,742,9-831,T,C,1,1
small,obqa,semantic,4,0.1,742,10-596,R,C,0,1
small,obqa,semantic,4,0.1,742,11-349,R,C,1,1
small,obqa,semantic,4,0.1,742,13-324,A,C,1,0
small,obqa,semantic,4,0.1,742,13-446,A,C,0,1
small,obqa,semantic,4,0.1,742,499,T,C,1,1
small,obqa,semantic,4,0.1,742,7-703,R,C,1,1
small,obqa,semantic,4,0.1,742,9-795,A,C,0,1
small,obqa,semantic,4,0.3,742,10-128,R,C,0,0
small,obqa,semantic,4,0.3,742,10-232,C,A,0,0
small,obqa,semantic,4,0.3,742,10-489,R,C,1,0
small,obqa,semantic,4,0.3,742,11-389,R,C,1,1
small,obqa,semantic,4,0.3,742,11-681,C,R,1,1
small,obqa,semantic,4,0.3,742,1107,C,R,0,1
small,obqa,semantic,4,0.3,742,12-22,R,C,0,1
small,obqa,semantic,4,0.3,742,12-77,C,R,1,1
small,obqa,semantic,4,0.3,742,14-1299,C,A,1,1
small,obqa,semantic,4,0.3,742,14-279,R,C,1,1
small,obqa,semantic,4,0.3,742,14-352,R,C,0,0
small,obqa,semantic,4,0.3,742,14-537,R,C,0,0
small,obqa,semantic,4,0.3,742,499,R,C,1,1
small,obqa,semantic,4,0.3,742,9-538,R,C,1,0
small,obqa,semantic,4,0.3,742,9-831,R,C,1,1
small,obqa,semantic,4,1,742,10-1068,C,R,1,1
small,obqa,semantic,4,1,742,10-380,R,C,0,0
small,obqa,semantic,4,1,742,10-75,R,C,0,1
small,obqa,semantic,4,1,742,11-347,C,R,1,1
small,obqa,semantic,4,1,742,11-564,C,R,1,1
small,obqa,semantic,4,1,742,12-1052,C,R,0,0
small,obqa,semantic,4,1,742,13-409,C,R,0,0
small,obqa,semantic,4,1,742,14-223,C,R,0,0
small,obqa,semantic,4,1,742,7-172,R,C,0,0
small,obqa,semantic,4,1,742,7-26,R,C,0,0
small,obqa,semantic,4,1,742,7-912,R,C,0,0
large,arc,word,3,0,299,Mercury_7159775,R,C,1,0
large,arc,word,3,0,299,Mercury_7235813,R,C,1,1
large,arc,word,3,0,299,Mercury_7135310,T,C,0,0
large,arc,word,3,0,299,Mercury_177398,R,C,1,1
large,arc,word,3,0,299,Mercury_7130883,T,C,1,1
large,arc,word,3,0,299,Mercury_7099768,T,C,1,1
large,arc,word,3,0,299,Mercury_7246995,T,C,1,1
large,arc,word,3,0.01,299,Mercury_7223038,R,C,1,1
large,arc,word,3,0.01,299,Mercury_SC_415541,T,C,1,1
large,arc,word,3,0.01,299,NYSEDREGENTS_2014_4_14,T,C,1,1
large,arc,word,3,0.01,299,Mercury_7135310,R,C,0,0
large,arc,word,3,0.01,299,Mercury_7139493,T,C,1,1
large,arc,word,3,0.01,299,Mercury_SC_LBS10666,R,C,1,1
large,arc,word,3,0.01,299,MDSA_2008_5_24,R,C,1,1
large,arc,word,3,0.01,299,Mercury_408809,R,C,1,1
large,arc,word,3,0.01,299,MCAS_2006_9_31-v1,R,C,1,1
large,arc,word,3,0.01,299,Mercury_7092295,R,C,1,1
large,arc,word,3,0.01,299,LEAP_2004_8_10397,R,C,1,1
large,arc,word,3,0.01,299,Mercury_SC_400845,R,C,1,1
large,arc,word,3,0.01,299,Mercury_177398,R,C,1,1
large,arc,word,3,0.01,299,Mercury_7130883,R,C,1,1
large,arc,word,3,0.01,299,Mercury_7006790,R,C,1,1
large,arc,word,3,0.01,299,Mercury_SC_400178,R,C,1,1
large,arc,word,3,0.01,299,Mercury_7007875,R,C,1,1
large,arc,word,3,0.01,299,ACTAAP_2009_5_5,T,C,1,1
large,arc,word,3,0.01,299,Mercury_7103180,T,C,1,1
large,arc,word,3,0.01,299,Mercury_7099768,R,C,1,1
large,arc,word,3,0.01,299,Mercury_SC_406029,T,C,0,0
large,arc,word,3,0.01,299,Mercury_7141698,R,C,1,1
large,arc,word,3,0.01,299,Mercury_7042735,R,C,1,1
large,arc,word,3,0.01,299,Mercury_7166180,T,C,1,1
large,arc,word,3,0.01,299,Mercury_7246925,R,C,1,1
large,arc,word,3,0.01,299,Mercury_7166530,R,C,1,1
large,arc,word,3,0.01,299,Mercury_7246995,T,C,1,1
large,arc,word,3,0.03,299,Mercury_7223038,R,C,1,1
large,arc,word,3,0.03,299,NYSEDREGENTS_2014_4_14,R,C,1,1
large,arc,word,3,0.03,299,Mercury_7139493,R,C,1,1
large,arc,word,3,0.03,299,Mercury_7092295,R,C,1,1
large,arc,word,3,0.03,299,LEAP_2004_8_10397,R,C,1,1
large,arc,word,3,0.03,299,ACTAAP_2009_5_5,R,C,1,1
large,arc,word,3,0.03,299,Mercury_7103180,R,C,1,1
large,arc,word,3,0.03,299,Mercury_7099768,R,C,1,1
large,arc,word,3,0.03,299,Mercury_7246995,R,C,1,1
large,arc,word,3,0.1,299,ACTAAP_2009_5_5,R,C,1,1
large,arc,word,4,0,299,Mercury_7159775,R,C,1,0
large,arc,word,4,0,299,Mercury_7235813,R,C,1,1
large,arc,word,4,0,299,Mercury_7135310,T,C,0,0
large,arc,word,4,0,299,Mercury_177398,R,C,1,1
large,arc,word,4,0,299,Mercury_7130883,T,C,1,1
large,arc,word,4,0,299,Mercury_7099768,T,C,1,1
large,arc,word,4,0,299,Mercury_7246995,T,C,1,1
large,arc,word,4,0.01,299,Mercury_7223038,R,C,1,1
large,arc,word,4,0.01,299,Mercury_SC_415541,T,C,1,1
large,arc,word,4,0.01,299,NYSEDREGENTS_2014_4_14,T,C,1,1
large,arc,word,4,0.01,299,Mercury_7135310,R,C,0,0
large,arc,word,4,0.01,299,Mercury_7139493,T,C,1,1
large,arc,word,4,0.01,299,Mercury_SC_LBS10666,R,C,1,1
large,arc,word,4,0.01,299,MDSA_2008_5_24,R,C,1,1
large,arc,word,4,0.01,299,Mercury_408809,R,C,1,1
large,arc,word,4,0.01,299,MCAS_2006_9_31-v1,R,C,1,1
large,arc,word,4,0.01,299,Mercury_7092295,R,C,1,1
large,arc,word,4,0.01,299,LEAP_2004_8_10397,A,C,1,1
large,arc,word,4,0.01,299,Mercury_SC_400845,R,C,1,1
large,arc,word,4,0.01,299,Mercury_177398,R,C,1,1
large,arc,word,4,0.01,299,Mercury_7130883,A,C,1,1
large,arc,word,4,0.01,299,Mercury_7006790,R,C,1,1
large,arc,word,4,0.01,299,Mercury_SC_400178,R,C,1,1
large,arc,word,4,0.01,299,Mercury_7007875,R,C,1,1
large,arc,word,4,0.01,299,ACTAAP_2009_5_5,T,C,1,1
large,arc,word,4,0.01,299,Mercury_7103180,T,C,1,1
large,arc,word,4,0.01,299,Mercury_7099768,R,C,1,1
large,arc,word,4,0.01,299,Mercury_SC_406029,T,C,0,0
large,arc,word,4,0.01,299,Mercury_7141698,R,C,1,1
large,arc,word,4,0.01,299,Mercury_7042735,R,C,1,1
large,arc,word,4,0.01,299,Mercury_7166180,T,C,1,1
large,arc,word,4,0.01,299,Mercury_7246925,R,C,1,1
large,arc,word,4,0.01,299,Mercury_7166530,R,C,1,1
large,arc,word,4,0.01,299,Mercury_7246995,T,C,1,1
large,arc,word,4,0.03,299,Mercury_7223038,R,C,1,1
large,arc,word,4,0.03,299,NYSEDREGENTS_2014_4_14,R,C,1,1
large,arc,word,4,0.03,299,Mercury_7139493,A,C,1,1
large,arc,word,4,0.03,299,Mercury_7092295,R,C,1,1
large,arc,word,4,0.03,299,LEAP_2004_8_10397,R,C,1,1
large,arc,word,4,0.03,299,ACTAAP_2009_5_5,A,C,1,1
large,arc,word,4,0.03,299,Mercury_7103180,A,C,1,1
large,arc,word,4,0.03,299,Mercury_7099768,R,C,1,1
large,arc,word,4,0.03,299,Mercury_7246995,R,C,1,1
large,arc,word,4,0.1,299,ACTAAP_2009_5_5,R,C,1,1
large,arc,semantic,3,0,299,MCAS_2012_5_8,T,C,1,1
large,arc,semantic,3,0,299,Mercury_7282608,T,C,1,1
large,arc,semantic,3,0,299,ACTAAP_2007_7_5,R,C,1,1
large,arc,semantic,3,0,299,Mercury_7138513,R,C,1,1
large,arc,semantic,3,0,299,Mercury_7011270,T,C,1,1
large,arc,semantic,3,0,299,Mercury_7189035,R,C,1,1
large,arc,semantic,3,0,299,Mercury_7238963,T,C,1,1
large,arc,semantic,3,0,299,Mercury_SC_406939,T,C,1,1
large,arc,semantic,3,0,299,NYSEDREGENTS_2014_8_20,R,C,1,1
large,arc,semantic,3,0,299,NYSEDREGENTS_2014_4_17,T,C,1,1
large,arc,semantic,3,0,299,Mercury_7171938,T,C,1,1
large,arc,semantic,3,0,299,Mercury_408809,T,C,1,1
large,arc,semantic,3,0,299,Mercury_409529,T,C,1,1
large,arc,semantic,3,0,299,Mercury_7038273,T,C,1,1
large,arc,semantic,3,0,299,Mercury_7003955,T,C,1,1
large,arc,semantic,3,0,299,Mercury_177398,T,C,1,1
large,arc,semantic,3,0,299,Mercury_SC_415491,T,C,0,1
large,arc,semantic,3,0,299,Mercury_SC_400178,T,C,1,1
large,arc,semantic,3,0,299,Mercury_412683,R,C,1,1
large,arc,semantic,3,0,299,NYSEDREGENTS_2014_8_41,T,C,1,1
large,arc,semantic,3,0,299,Mercury_7284043,T,C,1,1
large,arc,semantic,3,0,299,Mercury_7267995,C,T,1,1
large,arc,semantic,3,0,299,Mercury_7166180,T,C,1,1
large,arc,semantic,3,0,299,Mercury_400905,R,C,0,0
large,arc,semantic,3,0,299,TIMSS_2011_8_pg63,R,C,1,1
large,arc,semantic,3,0,299,Mercury_LBS10399,T,C,1,1
large,arc,semantic,3,0.01,299,Mercury_7032743,T,C,1,1
large,arc,semantic,3,0.01,299,MCAS_2012_5_8,T,C,1,1
large,arc,semantic,3,0.01,299,ACTAAP_2007_7_5,R,C,1,1
large,arc,semantic,3,0.01,299,Mercury_SC_415541,T,C,1,1
large,arc,semantic,3,0.01,299,NYSEDREGENTS_2014_4_19,R,C,1,1
large,arc,semantic,3,0.01,299,Mercury_7201705,R,C,1,1
large,arc,semantic,3,0.01,299,Mercury_7138513,R,C,1,1
large,arc,semantic,3,0.01,299,Mercury_7011270,R,C,1,1
large,arc,semantic,3,0.01,299,Mercury_7189035,R,C,1,1
large,arc,semantic,3,0.01,299,Mercury_7238963,R,C,1,1
large,arc,semantic,3,0.01,299,NYSEDREGENTS_2014_4_14,T,C,1,1
large,arc,semantic,3,0.01,299,Mercury_7215180,R,C,1,1
large,arc,semantic,3,0.01,299,NYSEDREGENTS_2014_4_17,R,C,1,1
large,arc,semantic,3,0.01,299,Mercury_SC_415348,T,C,1,1
large,arc,semantic,3,0.01,299,Mercury_7171938,R,C,1,1
large,arc,semantic,3,0.01,299,VASoL_2008_5_19,R,C,1,1
large,arc,semantic,3,0.01,299,Mercury_408809,R,C,1,1
large,arc,semantic,3,0.01,299,MEA_2016_5_6,T,C,1,1
large,arc,semantic,3,0.01,299,Mercury_7133858,R,C,1,1
large,arc,semantic,3,0.01,299,Mercury_7130603,R,C,0,1
large,arc,semantic,3,0.01,299,Mercury_409529,R,C,1,1
large,arc,semantic,3,0.01,299,Mercury_7112753,R,C,0,0
large,arc,semantic,3,0.01,299,Mercury_7097318,R,C,1,1
large,arc,semantic,3,0.01,299,Mercury_7090720,R,C,1,1
large,arc,semantic,3,0.01,299,Mercury_177398,R,C,1,1
large,arc,semantic,3,0.01,299,Mercury_SC_415491,R,C,0,1
large,arc,semantic,3,0.01,299,Mercury_7006790,R,C,1,1
large,arc,semantic,3,0.01,299,Mercury_SC_400178,R,C,1,1
large,arc,semantic,3,0.01,299,Mercury_7007875,R,C,1,1
large,arc,semantic,3,0.01,299,Mercury_7269238,R,C,1,1
large,arc,semantic,3,0.01,299,Mercury_412683,R,C,1,1
large,arc,semantic,3,0.01,299,TIMSS_2007_4_pg26,T,C,1,0
large,arc,semantic,3,0.01,299,NYSEDREGENTS_2014_4_9,R,C,0,0
large,arc,semantic,3,0.01,299,TIMSS_2003_8_pg31,T,C,1,1
large,arc,semantic,3,0.01,299,Mercury_7166880,T,C,1,1
large,arc,semantic,3,0.01,299,NYSEDREGENTS_2014_8_41,R,C,1,1
large,arc,semantic,3,0.01,299,Mercury_SC_408700,R,C,1,1
large,arc,semantic,3,0.01,299,Mercury_7284043,R,C,1,1
large,arc,semantic,3,0.01,299,Mercury_7133648,R,C,1,1
large,arc,semantic,3,0.01,299,NYSEDREGENTS_2014_4_28,T,C,1,1
large,arc,semantic,3,0.01,299,Mercury_7267593,R,C,0,0
large,arc,semantic,3,0.01,299,Mercury_180443,T,C,0,0
large,arc,semantic,3,0.01,299,Mercury_7120890,T,C,1,0
large,arc,semantic,3,0.01,299,MCAS_1999_8_22,T,C,1,1
large,arc,semantic,3,0.01,299,Mercury_7166180,R,C,1,1
large,arc,semantic,3,0.01,299,MDSA_2007_8_15,R,C,1,1
large,arc,semantic,3,0.01,299,Mercury_SC_401714,T,C,1,1
large,arc,semantic,3,0.01,299,Mercury_400905,R,C,0,0
large,arc,semantic,3,0.01,299,Mercury_7246995,R,C,1,1
large,arc,semantic,3,0.01,299,TIMSS_2011_8_pg63,R,C,1,1
large,arc,semantic,3,0.01,299,Mercury_LBS10399,R,C,1,1
large,arc,semantic,3,0.03,299,Mercury_405454,R,C,0,0
large,arc,semantic,3,0.03,299,MCAS_2012_5_8,R,C,1,1
large,arc,semantic,3,0.03,299,Mercury_7282608,R,C,1,1
large,arc,semantic,3,0.03,299,ACTAAP_2007_7_5,R,C,1,1
large,arc,semantic,3,0.03,299,Mercury_SC_415541,R,C,1,1
large,arc,semantic,3,0.03,299,NYSEDREGENTS_2014_4_19,R,C,1,1
large,arc,semantic,3,0.03,299,Mercury_7138513,R,C,1,1
large,arc,semantic,3,0.03,299,Mercury_SC_401663,R,C,1,1
large,arc,semantic,3,0.03,299,Mercury_7011270,R,C,1,1
large,arc,semantic,3,0.03,299,Mercury_7189035,R,C,1,1
large,arc,semantic,3,0.03,299,Mercury_7238963,R,C,1,1
large,arc,semantic,3,0.03,299,NYSEDREGENTS_2014_4_14,R,C,1,1
large,arc,semantic,3,0.03,299,NYSEDREGENTS_2014_4_17,R,C,1,1
large,arc,semantic,3,0.03,299,Mercury_SC_415348,R,C,1,1
large,arc,semantic,3,0.03,299,Mercury_7171938,R,C,1,1
large,arc,semantic,3,0.03,299,Mercury_408809,R,C,1,1
large,arc,semantic,3,0.03,299,MEA_2016_5_6,R,C,1,1
large,arc,semantic,3,0.03,299,Mercury_7130603,R,C,0,1
large,arc,semantic,3,0.03,299,Mercury_7112753,R,C,0,0
large,arc,semantic,3,0.03,299,Mercury_177398,R,C,1,1
large,arc,semantic,3,0.03,299,Mercury_SC_415491,R,C,0,1
large,arc,semantic,3,0.03,299,Mercury_SC_400178,R,C,1,1
large,arc,semantic,3,0.03,299,Mercury_412683,R,C,1,1
large,arc,semantic,3,0.03,299,TIMSS_2007_4_pg26,R,C,0,0
large,arc,semantic,3,0.03,299,TIMSS_2003_8_pg31,R,C,1,1
large,arc,semantic,3,0.03,299,Mercury_7166880,R,C,1,1
large,arc,semantic,3,0.03,299,NYSEDREGENTS_2014_8_41,R,C,1,1
large,arc,semantic,3,0.03,299,Mercury_7133648,R,C,1,1
large,arc,semantic,3,0.03,299,NYSEDREGENTS_2014_4_28,R,C,1,1
large,arc,semantic,3,0.03,299,Mercury_7267593,R,C,0,0
large,arc,semantic,3,0.03,299,NYSEDREGENTS_2014_4_2,R,C,1,1
large,arc,semantic,3,0.03,299,Mercury_180443,R,C,0,0
large,arc,semantic,3,0.03,299,Mercury_7120890,R,C,1,0
large,arc,semantic,3,0.03,299,MCAS_1999_8_22,R,C,1,1
large,arc,semantic,3,0.03,299,Mercury_SC_401714,R,C,1,1
large,arc,semantic,3,0.03,299,Mercury_400905,R,C,0,0
large,arc,semantic,3,0.03,299,MCAS_2003_5_31,R,C,1,1
large,arc,semantic,3,0.03,299,Mercury_LBS10399,R,C,1,1
large,arc,semantic,3,0.1,299,Mercury_405454,R,C,0,0
large,arc,semantic,3,0.1,299,NYSEDREGENTS_2014_4_14,R,C,1,1
large,arc,semantic,4,0,299,MCAS_2012_5_8,T,C,1,1
large,arc,semantic,4,0,299,Mercury_7282608,T,C,1,1
large,arc,semantic,4,0,299,ACTAAP_2007_7_5,R,C,1,1
large,arc,semantic,4,0,299,Mercury_7138513,A,C,1,1
large,arc,semantic,4,0,299,Mercury_7011270,T,C,1,1
large,arc,semantic,4,0,299,Mercury_7189035,R,C,1,1
large,arc,semantic,4,0,299,Mercury_7238963,T,C,1,1
large,arc,semantic,4,0,299,Mercury_SC_406939,T,C,1,1
large,arc,semantic,4,0,299,NYSEDREGENTS_2014_8_20,R,C,1,1
large,arc,semantic,4,0,299,NYSEDREGENTS_2014_4_17,T,C,1,1
large,arc,semantic,4,0,299,Mercury_7171938,T,C,1,1
large,arc,semantic,4,0,299,Mercury_408809,T,C,1,1
large,arc,semantic,4,0,299,Mercury_409529,T,C,1,1
large,arc,semantic,4,0,299,Mercury_7038273,T,C,1,1
large,arc,semantic,4,0,299,Mercury_7003955,T,C,1,1
large,arc,semantic,4,0,299,Mercury_177398,T,C,1,1
large,arc,semantic,4,0,299,Mercury_SC_415491,T,C,0,1
large,arc,semantic,4,0,299,Mercury_SC_400178,T,C,1,1
large,arc,semantic,4,0,299,Mercury_412683,R,C,1,1
large,arc,semantic,4,0,299,NYSEDREGENTS_2014_8_41,T,C,1,1
large,arc,semantic,4,0,299,Mercury_7284043,T,C,1,1
large,arc,semantic,4,0,299,Mercury_7267995,C,T,1,1
large,arc,semantic,4,0,299,Mercury_7166180,T,C,1,1
large,arc,semantic,4,0,299,Mercury_400905,R,C,0,0
large,arc,semantic,4,0,299,TIMSS_2011_8_pg63,R,C,1,1
large,arc,semantic,4,0,299,Mercury_LBS10399,T,C,1,1
large,arc,semantic,4,0.01,299,Mercury_7032743,T,C,1,1
large,arc,semantic,4,0.01,299,MCAS_2012_5_8,A,C,1,1
large,arc,semantic,4,0.01,299,ACTAAP_2007_7_5,R,C,1,1
large,arc,semantic,4,0.01,299,Mercury_SC_415541,T,C,1,1
large,arc,semantic,4,0.01,299,NYSEDREGENTS_2014_4_19,R,C,1,1
large,arc,semantic,4,0.01,299,Mercury_7201705,R,C,1,1
large,arc,semantic,4,0.01,299,Mercury_7138513,A,C,1,1
large,arc,semantic,4,0.01,299,Mercury_7011270,R,C,1,1
large,arc,semantic,4,0.01,299,Mercury_7189035,R,C,1,1
large,arc,semantic,4,0.01,299,Mercury_7238963,R,C,1,1
large,arc,semantic,4,0.01,299,NYSEDREGENTS_2014_4_14,T,C,1,1
large,arc,semantic,4,0.01,299,Mercury_7215180,R,C,1,1
large,arc,semantic,4,0.01,299,NYSEDREGENTS_2014_4_17,R,C,1,1
large,arc,semantic,4,0.01,299,Mercury_SC_415348,T,C,1,1
large,arc,semantic,4,0.01,299,Mercury_7171938,R,C,1,1
large,arc,semantic,4,0.01,299,VASoL_2008_5_19,R,C,1,1
large,arc,semantic,4,0.01,299,Mercury_408809,R,C,1,1
large,arc,semantic,4,0.01,299,MEA_2016_5_6,T,C,1,1
large,arc,semantic,4,0.01,299,Mercury_7133858,R,C,1,1
large,arc,semantic,4,0.01,299,Mercury_7130603,R,C,0,1
large,arc,semantic,4,0.01,299,Mercury_409529,R,C,1,1
large,arc,semantic,4,0.01,299,Mercury_7112753,A,C,0,0
large,arc,semantic,4,0.01,299,Mercury_7097318,R,C,1,1
large,arc,semantic,4,0.01,299,Mercury_7090720,A,C,1,1
large,arc,semantic,4,0.01,299,Mercury_177398,R,C,1,1
large,arc,semantic,4,0.01,299,Mercury_SC_415491,R,C,0,1
large,arc,semantic,4,0.01,299,Mercury_7006790,R,C,1,1
large,arc,semantic,4,0.01,299,Mercury_SC_400178,R,C,1,1
large,arc,semantic,4,0.01,299,Mercury_7007875,R,C,1,1
large,arc,semantic,4,0.01,299,Mercury_7269238,R,C,1,1
large,arc,semantic,4,0.01,299,Mercury_412683,R,C,1,1
large,arc,semantic,4,0.01,299,TIMSS_2007_4_pg26,T,C,1,0
large,arc,semantic,4,0.01,299,NYSEDREGENTS_2014_4_9,R,C,0,0
large,arc,semantic,4,0.01,299,TIMSS_2003_8_pg31,T,C,1,1
large,arc,semantic,4,0.01,299,Mercury_7166880,T,C,1,1
large,arc,semantic,4,0.01,299,NYSEDREGENTS_2014_8_41,R,C,1,1
large,arc,semantic,4,0.01,299,Mercury_SC_408700,R,C,1,1
large,arc,semantic,4,0.01,299,Mercury_7284043,R,C,1,1
large,arc,semantic,4,0.01,299,Mercury_7133648,R,C,1,1
large,arc,semantic,4,0.01,299,NYSEDREGENTS_2014_4_28,T,C,1,1
large,arc,semantic,4,0.01,299,Mercury_7267593,R,C,0,0
large,arc,semantic,4,0.01,299,Mercury_180443,T,C,0,0
large,arc,semantic,4,0.01,299,Mercury_7120890,T,C,1,0
large,arc,semantic,4,0.01,299,MCAS_1999_8_22,T,C,1,1
large,arc,semantic,4,0.01,299,Mercury_7166180,R,C,1,1
large,arc,semantic,4,0.01,299,MDSA_2007_8_15,A,C,1,1
large,arc,semantic,4,0.01,299,Mercury_SC_401714,T,C,1,1
large,arc,semantic,4,0.01,299,Mercury_400905,R,C,0,0
large,arc,semantic,4,0.01,299,Mercury_7246995,R,C,1,1
large,arc,semantic,4,0.01,299,TIMSS_2011_8_pg63,R,C,1,1
large,arc,semantic,4,0.01,299,Mercury_LBS10399,R,C,1,1
large,arc,semantic,4,0.03,299,Mercury_405454,R,C,0,0
large,arc,semantic,4,0.03,299,MCAS_2012_5_8,R,C,1,1
large,arc,semantic,4,0.03,299,Mercury_7282608,A,C,1,1
large,arc,semantic,4,0.03,299,ACTAAP_2007_7_5,R,C,1,1
large,arc,semantic,4,0.03,299,Mercury_SC_415541,R,C,1,1
large,arc,semantic,4,0.03,299,NYSEDREGENTS_2014_4_19,R,C,1,1
large,arc,semantic,4,0.03,299,Mercury_7138513,R,C,1,1
large,arc,semantic,4,0.03,299,Mercury_SC_401663,R,C,1,1
large,arc,semantic,4,0.03,299,Mercury_7011270,R,C,1,1
large,arc,semantic,4,0.03,299,Mercury_7189035,R,C,1,1
large,arc,semantic,4,0.03,299,Mercury_7238963,R,C,1,1
large,arc,semantic,4,0.03,299,NYSEDREGENTS_2014_4_14,R,C,1,1
large,arc,semantic,4,0.03,299,NYSEDREGENTS_2014_4_17,R,C,1,1
large,arc,semantic,4,0.03,299,Mercury_SC_415348,R,C,1,1
large,arc,semantic,4,0.03,299,Mercury_7171938,R,C,1,1
large,arc,semantic,4,0.03,299,Mercury_408809,R,C,1,1
large,arc,semantic,4,0.03,299,MEA_2016_5_6,R,C,1,1
large,arc,semantic,4,0.03,299,Mercury_7130603,R,C,0,1
large,arc,semantic,4,0.03,299,Mercury_7112753,R,C,0,0
large,arc,semantic,4,0.03,299,Mercury_177398,R,C,1,1
large,arc,semantic,4,0.03,299,Mercury_SC_415491,R,C,0,1
large,arc,semantic,4,0.03,299,Mercury_SC_400178,R,C,1,1
large,arc,semantic,4,0.03,299,Mercury_412683,R,C,1,1
large,arc,semantic,4,0.03,299,TIMSS_2007_4_pg26,R,C,0,0
large,arc,semantic,4,0.03,299,TIMSS_2003_8_pg31,R,C,1,1
large,arc,semantic,4,0.03,299,Mercury_7166880,R,C,1,1
large,arc,semantic,4,0.03,299,NYSEDREGENTS_2014_8_41,R,C,1,1
large,arc,semantic,4,0.03,299,Mercury_7133648,R,C,1,1
large,arc,semantic,4,0.03,299,NYSEDREGENTS_2014_4_28,R,C,1,1
large,arc,semantic,4,0.03,299,Mercury_7267593,R,C,0,0
large,arc,semantic,4,0.03,299,NYSEDREGENTS_2014_4_2,R,C,1,1
large,arc,semantic,4,0.03,299,Mercury_180443,R,C,0,0
large,arc,semantic,4,0.03,299,Mercury_7120890,R,C,1,0
large,arc,semantic,4,0.03,299,MCAS_1999_8_22,R,C,1,1
large,arc,semantic,4,0.03,299,Mercury_SC_401714,R,C,1,1
