pair,action,official_index,id,gold,official_raw,official_parsed_v2,official_pred_official_evaluator,ours_raw,ours_parsed_v2,ours_runtime_error
small,C,70,1702,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,71,8-260,C,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,72,9-491,C,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,73,75,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,74,1215,C,The correct answer is C.,C,C,The correct answer is C.,C,False
small,C,75,8-93,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,76,7-988,A,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,77,9-1139,C,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,78,1545,B,The correct answer is B. Juice.,B,B,The correct answer is B. Juice.,B,False
small,C,79,7-664,C,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,80,8-53,C,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,81,7-1044,A,D. none of these,D,D,D. none of these,D,False
small,C,82,7-1122,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,83,9-79,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,84,7-157,D,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,85,9-1164,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,86,8-63,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,87,8-308,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,88,326,C,The correct answer is C. A Season.,C,C,The correct answer is C. A Season.,C,False
small,C,89,1184,A,The correct answer is B. Essentials for photosynthesis.,B,B,The correct answer is B. Essentials for photosynthesis.,B,False
small,C,90,359,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,91,9-350,D,The correct answer is C.,C,C,The correct answer is C.,C,False
small,C,92,7-140,C,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,93,591,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,94,7-391,C,The correct answer is C.,C,C,The correct answer is C.,C,False
small,C,95,1672,C,The correct answer is D. Collecting twigs to keep warm.,D,D,The correct answer is D. Collecting twigs to keep warm.,D,False
small,C,96,9-464,C,The correct answer is C. Rainfall,C,C,The correct answer is C. Rainfall,C,False
small,C,97,9-983,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,98,9-179,A,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,99,7-942,C,D. slow,D,D,D. slow,D,False
small,C,100,7-100,B,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,101,9-30,B,The correct answer is B. snake.,B,B,The correct answer is B. snake.,B,False
small,C,102,1709,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,103,8-491,D,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,104,44,B,The correct answer is B. Skills.,B,B,The correct answer is B. Skills.,B,False
small,C,105,1023,D,The correct answer is D. Electricity.,D,D,The correct answer is D. Electricity.,D,False
small,C,106,1911,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,107,429,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,108,8-49,D,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,109,520,C,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,110,7-1128,C,The correct answer is C.,C,C,The correct answer is C.,C,False
small,C,111,7-394,B,The correct answer is B. The moon is brighter than stars.,B,B,The correct answer is B. The moon is brighter than stars.,B,False
small,C,112,9-1166,B,The correct answer is B. Persist.,B,B,The correct answer is B. Persist.,B,False
small,C,113,7-884,C,The correct answer is A. Music to be loud.,A,A,The correct answer is A. Music to be loud.,A,False
small,C,114,9-501,A,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,115,9-757,C,The correct answer is C.,C,C,The correct answer is C.,C,False
small,C,116,7-725,D,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,117,1300,D,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,118,9-230,A,"The correct answer is A. Measure the altitude of the bird using a reference point, such as a tall building.",A,A,"The correct answer is A. Measure the altitude of the bird using a reference point, such as a tall building.",A,False
small,C,119,9-988,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,120,9-393,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,121,7-823,D,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,122,9-24,A,The correct answer is B. Melting into sand.,B,B,The correct answer is B. Melting into sand.,B,False
small,C,123,570,D,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,124,9-124,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,125,9-199,A,The correct answer is B. Corn syrup or,B,B,The correct answer is B. Corn syrup or,B,False
small,C,126,767,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,127,28,D,D. direct,D,D,D. direct,D,False
small,C,128,9-1134,B,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,129,9-1030,C,C,C,C,C,C,False
small,C,130,9-18,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,131,8-378,D,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,132,7-677,C,The correct answer is C.,C,C,The correct answer is C.,C,False
small,C,133,9-786,A,The correct answer is A. Our Planet.,A,A,The correct answer is A. Our Planet.,A,False
small,C,134,9-463,D,The correct answer is B. Human flesh.,B,B,The correct answer is B. Human flesh.,B,False
small,C,135,7-71,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,136,9-1053,D,The correct answer is D. H2O,D,D,The correct answer is D. H2O,D,False
small,C,137,9-437,B,The correct answer is A. Yelling really loud.,A,A,The correct answer is A. Yelling really loud.,A,False
small,C,138,1787,B,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,139,7-107,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,140,769,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,141,9-73,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,142,9-1194,D,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,143,9-416,D,D. The environment,D,D,D. The environment,D,False
small,C,144,470,A,The correct answer is A. Humans throwing a spear through an animal.,A,A,The correct answer is A. Humans throwing a spear through an animal.,A,False
small,C,145,1297,D,The correct answer is D. orange juice.,D,D,The correct answer is D. orange juice.,D,False
small,C,146,8-346,A,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,147,7-807,A,The correct answer is C. water.,C,C,The correct answer is C. water.,C,False
small,C,148,8-463,A,The correct answer is A. The freezing point.,A,A,The correct answer is A. The freezing point.,A,False
small,C,149,9-110,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,150,1611,C,The correct answer is C.,C,C,The correct answer is C.,C,False
small,C,151,9-942,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,152,9-1102,B,The correct answer is B. A school notebook.,B,B,The correct answer is B. A school notebook.,B,False
small,C,153,9-774,C,The correct answer is C.,C,C,The correct answer is C.,C,False
small,C,154,8-333,A,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,155,9-573,B,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,156,1955,A,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,157,8-45,C,The correct answer is A. 5 p.m.,A,A,The correct answer is A. 5 p.m.,A,False
small,C,158,9-674,C,The correct answer is C.,C,C,The correct answer is C.,C,False
small,C,159,898,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,160,7-1159,C,The correct answer is B. Prey will experience an increase in population.,B,B,The correct answer is B. Prey will experience an increase in population.,B,False
small,C,161,568,A,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,162,9-877,B,The correct answer is B. snow fox,B,B,The correct answer is B. snow fox,B,False
small,C,163,406,C,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,164,7-1132,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,165,7-479,C,The correct answer is C. They are young frogs still growing.,C,C,The correct answer is C. They are young frogs still growing.,C,False
small,C,166,609,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,167,1568,C,The correct answer is A. Window,A,A,The correct answer is A. Window,A,False
small,C,168,9-418,C,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,169,7-1050,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,170,9-510,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,171,9-519,A,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,172,9-637,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,173,473,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,174,8-445,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,175,9-575,B,The correct answer is D. All of these.,D,D,The correct answer is D. All of these.,D,False
small,C,176,7-284,B,The correct answer is B. Cut back their caloric intake.,B,B,The correct answer is B. Cut back their caloric intake.,B,False
small,C,177,8-135,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,178,397,D,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,179,9-32,B,The correct answer is D. southern hemisphere,D,D,The correct answer is D. southern hemisphere,D,False
small,C,180,48,C,The correct answer is C. Fossilization.,C,C,The correct answer is C. Fossilization.,C,False
small,C,181,8-69,C,The correct answer is C. Significant supplies accumulated prior.,C,C,The correct answer is C. Significant supplies accumulated prior.,C,False
small,C,182,9-159,C,The correct answer is C. natural waters weathered it,C,C,The correct answer is C. natural waters weathered it,C,False
small,C,183,9-317,C,The correct answer is C. electricity.,C,C,The correct answer is C. electricity.,C,False
small,C,184,423,D,The correct answer is D. stone.,D,D,The correct answer is D. stone.,D,False
small,C,185,8-304,A,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,186,785,D,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,187,9-1087,C,The correct answer is C.,C,C,The correct answer is C.,C,False
small,C,188,485,D,The correct answer is D. exposed topsoil,D,D,The correct answer is D. exposed topsoil,D,False
small,C,189,9-908,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,190,1231,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,191,810,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,192,158,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,193,7-445,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,194,1502,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,195,1200,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,196,437,A,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,197,8-205,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,198,9-270,C,The correct answer is C.,C,C,The correct answer is C.,C,False
small,C,199,8-130,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,200,229,D,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,201,9-390,D,The correct answer is B. Sea,B,B,The correct answer is B. Sea,B,False
small,C,202,8-107,C,The correct answer is C.,C,C,The correct answer is C.,C,False
small,C,203,7-527,A,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,204,7-333,C,The correct answer is C. Genetic contributors had long ears.,C,C,The correct answer is C. Genetic contributors had long ears.,C,False
small,C,205,9-44,C,The correct answer is C. Whitetails.,C,C,The correct answer is C. Whitetails.,C,False
small,C,206,7-160,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,207,1942,D,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,208,9-597,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,209,9-35,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,210,1161,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,211,7-171,B,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,212,1139,D,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,213,1924,B,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,214,9-440,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,215,9-528,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,216,170,C,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,217,395,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,218,9-633,D,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,219,9-504,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,220,8-192,A,A. Heat,A,A,A. Heat,A,False
small,C,221,7-1108,D,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,222,7-852,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,223,761,D,The correct answer is A. Arizona,A,A,The correct answer is A. Arizona,A,False
small,C,224,8-318,B,The correct answer is B. Light is more easily seen.,B,B,The correct answer is B. Light is more easily seen.,B,False
small,C,225,636,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,226,7-444,D,The correct answer is D. The toes are wiggled.,D,D,The correct answer is D. The toes are wiggled.,D,False
small,C,227,8-57,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,228,9-187,B,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,229,1345,B,The correct answer is A. Provide nice scents.,A,A,The correct answer is A. Provide nice scents.,A,False
small,C,230,8-59,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,231,178,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,232,9-1186,A,The correct answer is C. Drinking water.,C,C,The correct answer is C. Drinking water.,C,False
small,C,233,82,C,D. reverse,D,D,D. reverse,D,False
small,C,234,8-165,C,The correct answer is C.,C,C,The correct answer is C.,C,False
small,C,235,404,B,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,236,279,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,237,9-532,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,238,268,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,239,7-1018,D,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,240,1756,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,241,1137,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,242,7-203,D,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,243,745,B,The correct answer is B. Rubber.,B,B,The correct answer is B. Rubber.,B,False
small,C,244,7-902,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,245,1095,A,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,246,7-163,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,247,9-858,C,The correct answer is C. Hotness.,C,C,The correct answer is C. Hotness.,C,False
small,C,248,1530,D,The correct answer is D. music.,D,D,The correct answer is D. music.,D,False
small,C,249,9-993,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,250,8-340,D,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,251,3,B,The correct answer is B. Landfills.,B,B,The correct answer is B. Landfills.,B,False
small,C,252,1074,C,The correct answer is C. metal,C,C,The correct answer is C. metal,C,False
small,C,253,9-431,A,The correct answer is A. Combining.,A,A,The correct answer is A. Combining.,A,False
small,C,254,9-638,B,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,255,9-352,D,The correct answer is D. Iron and carbon.,D,D,The correct answer is D. Iron and carbon.,D,False
small,C,256,226,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,257,9-132,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,258,9-222,D,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,259,9-105,D,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,260,7-459,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,261,9-881,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,262,280,B,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,263,187,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,264,8-253,C,The correct answer is C.,C,C,The correct answer is C.,C,False
small,C,265,9-482,D,D. It will pass out,D,D,D. It will pass out,D,False
small,C,266,496,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,267,630,C,The correct answer is A. The Amazon River contains large amounts of salt water.,A,A,The correct answer is A. The Amazon River contains large amounts of salt water.,A,False
small,C,268,9-16,D,The correct answer is C. The praying mantis.,C,C,The correct answer is C. The praying mantis.,C,False
small,C,269,7-986,D,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,270,7-787,C,The correct answer is A. They consume plants.,A,A,The correct answer is A. They consume plants.,A,False
small,C,271,9-181,A,The correct answer is A. Our celestial fireball.,A,A,The correct answer is A. Our celestial fireball.,A,False
small,C,272,1240,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,273,474,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,274,1274,D,The correct answer is D. Under the ground.,D,D,The correct answer is D. Under the ground.,D,False
small,C,275,1531,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,276,8-321,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,277,1321,C,The correct answer is C. Because it's blanketed in crystalline ice water.,C,C,The correct answer is C. Because it's blanketed in crystalline ice water.,C,False
small,C,278,9-51,D,The correct answer is D. An insulated room.,D,D,The correct answer is D. An insulated room.,D,False
small,C,279,7-685,B,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,280,7-59,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,281,7-270,D,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,282,7-736,C,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,283,8-186,D,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,284,224,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,285,8-206,A,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,286,8-190,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,287,7-334,B,The correct answer is B. Certain features may be predicted.,B,B,The correct answer is B. Certain features may be predicted.,B,False
small,C,288,9-853,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,289,8-367,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,290,1047,A,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,291,9-454,C,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,292,1572,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,293,8-373,A,The correct answer is C.,C,C,The correct answer is C.,C,False
small,C,294,9-772,A,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,295,1852,A,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,296,9-1090,D,D,D,D,D,D,False
small,C,297,7-769,C,The correct answer is C.,C,C,The correct answer is C.,C,False
small,C,298,9-478,C,The correct answer is C. daughter.,C,C,The correct answer is C. daughter.,C,False
small,C,299,448,A,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,300,7-417,B,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,301,7-108,D,The correct answer is D. Combusted items.,D,D,The correct answer is D. Combusted items.,D,False
small,C,302,1506,D,The correct answer is D. Fewer clouds allow for more sunlight.,D,D,The correct answer is D. Fewer clouds allow for more sunlight.,D,False
small,C,303,1712,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,304,8-312,C,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,305,9-776,A,The correct answer is A. Iron saw.,A,A,The correct answer is A. Iron saw.,A,False
small,C,306,8-279,C,The correct answer is C. The sun that shines all day.,C,C,The correct answer is C. The sun that shines all day.,C,False
small,C,307,9-621,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,308,1823,C,The correct answer is D. Everyone's trash.,D,D,The correct answer is D. Everyone's trash.,D,False
small,C,309,9-735,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,310,7-1170,B,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,311,1500,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,312,342,B,The correct answer is B. Conventional corn.,B,B,The correct answer is B. Conventional corn.,B,False
small,C,313,7-356,D,D. it shows direction,D,D,D. it shows direction,D,False
small,C,314,78,B,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,315,9-520,C,The correct answer is C. The nearest star sulfur burning heavenly body.,C,C,The correct answer is C. The nearest star sulfur burning heavenly body.,C,False
small,C,316,7-653,C,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,317,1112,B,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,318,9-152,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,319,9-552,B,The correct answer is B. Predator.,B,B,The correct answer is B. Predator.,B,False
small,C,320,7-262,A,The correct answer is C. The ocean,C,C,The correct answer is C. The ocean,C,False
small,C,321,7-683,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,322,276,B,The correct answer is C. Photosynthesis.,C,C,The correct answer is C. Photosynthesis.,C,False
small,C,323,7-855,C,The correct answer is C. less water.,C,C,The correct answer is C. less water.,C,False
small,C,324,664,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,325,9-883,C,The correct answer is C.,C,C,The correct answer is C.,C,False
small,C,326,9-550,A,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,327,8-493,D,The correct answer is C.,C,C,The correct answer is C.,C,False
small,C,328,9-257,C,The correct answer is C.,C,C,The correct answer is C.,C,False
small,C,329,1239,D,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,330,869,A,The correct answer is C. ice cream,C,C,The correct answer is C. ice cream,C,False
small,C,331,7-1105,A,D. the thing loses energy,D,D,D. the thing loses energy,D,False
small,C,332,597,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,333,385,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,334,1301,B,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,335,9-893,D,The correct answer is A. Radiation.,A,A,The correct answer is A. Radiation.,A,False
small,C,336,9-369,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,337,9-1026,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,338,7-424,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,339,9-259,A,The correct answer is B. Double Fur Coats.,B,B,The correct answer is B. Double Fur Coats.,B,False
small,C,340,9-783,C,The correct answer is C. Chill.,C,C,The correct answer is C. Chill.,C,False
small,C,341,1088,B,The correct answer is A. catching prey.,A,A,The correct answer is A. catching prey.,A,False
small,C,342,1387,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,343,7-1062,A,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,344,676,D,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,345,1998,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,346,1698,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,347,490,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,348,844,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,349,1795,C,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,350,1508,B,The correct answer is C. lithium batteries.,C,C,The correct answer is C. lithium batteries.,C,False
small,C,351,9-289,D,The correct answer is D. turf.,D,D,The correct answer is D. turf.,D,False
small,C,352,9-668,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,353,7-364,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,354,1271,B,The correct answer is A. June.,A,A,The correct answer is A. June.,A,False
small,C,355,9-1117,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,356,35,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,357,1660,B,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,358,7-710,B,The correct answer is D. Are created in a year,D,D,The correct answer is D. Are created in a year,D,False
small,C,359,8-52,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,360,9-1167,D,The correct answer is D. Weather.,D,D,The correct answer is D. Weather.,D,False
small,C,361,8-43,D,D. commonality among all animals,D,D,D. commonality among all animals,D,False
small,C,362,9-57,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,363,1411,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,364,9-206,C,"The correct answer is B. A plastic zipper is not attracted to a magnet, while flowing water is attracted to a magnet.",B,B,"The correct answer is B. A plastic zipper is not attracted to a magnet, while flowing water is attracted to a magnet.",B,False
small,C,365,7-740,D,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,366,1774,B,The correct answer is C. A cat eating food then throwing it up.,C,C,The correct answer is C. A cat eating food then throwing it up.,C,False
small,C,367,7-93,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,368,8-97,B,The correct answer is B. Run a continuous current.,B,B,The correct answer is B. Run a continuous current.,B,False
small,C,369,9-813,B,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,370,9-686,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,371,9-799,C,The correct answer is C. Frozen water.,C,C,The correct answer is C. Frozen water.,C,False
small,C,372,1179,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,373,1954,A,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,374,8-403,C,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,375,9-576,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,376,9-866,B,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,377,7-208,C,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,378,9-771,D,The correct answer is B. Car,B,B,The correct answer is B. Car,B,False
small,C,379,998,C,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,380,433,B,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,381,9-508,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,382,7-561,D,The correct answer is C. water.,C,C,The correct answer is C. water.,C,False
small,C,383,7-976,A,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,384,1635,C,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,385,7-875,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,386,7-1053,B,B. deserts get surplus sun,B,B,B. deserts get surplus sun,B,False
small,C,387,9-957,D,The correct answer is C. The Amazon.,C,C,The correct answer is C. The Amazon.,C,False
small,C,388,1150,C,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,389,8-240,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,390,9-554,C,The correct answer is C. Their mother teaches them to keep their distance.,C,C,The correct answer is C. Their mother teaches them to keep their distance.,C,False
small,C,391,9-135,B,The correct answer is C. A dry paved road is most likely to lose control.,C,C,The correct answer is C. A dry paved road is most likely to lose control.,C,False
small,C,392,7-1096,B,The correct answer is B. swallow,B,B,The correct answer is B. swallow,B,False
small,C,393,841,C,The correct answer is C. silicon,C,C,The correct answer is C. silicon,C,False
small,C,394,7-146,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,395,1554,D,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,396,9-731,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,397,1780,A,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,398,7-1077,D,The correct answer is B.,B,B,The correct answer is B.,B,False
small,C,399,8-494,C,The correct answer is B. A trip to Mars is the quickest to go visiting from our world.,B,B,The correct answer is B. A trip to Mars is the quickest to go visiting from our world.,B,False
small,C,400,936,A,The correct answer is D.,D,D,The correct answer is D.,D,False
small,C,401,8-478,B,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,402,9-669,C,The correct answer is B. All of these.,B,B,The correct answer is B. All of these.,B,False
small,C,403,7-732,A,The correct answer is A.,A,A,The correct answer is A.,A,False
small,C,404,7-658,D,The correct answer is A.,A,A,The correct answer is A.,A,False
